Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN02969,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2017,9,21,Online,0,0,0,145.0,0,0
INN08215,2,0,0,1,Meal Plan 1,0,Room_Type 1,29,2018,9,29,Online,0,0,0,139.0,1,1
INN03702,1,0,0,4,Meal Plan 1,0,Room_Type 4,6,2018,10,26,Aviation,0,0,0,110.0,0,0
INN22869,2,1,0,3,Meal Plan 1,0,Room_Type 1,42,2018,10,20,Online,0,0,0,164.33,1,1
INN10176,2,1,0,1,Meal Plan 1,0,Room_Type 1,0,2018,7,1,Online,0,0,0,159.0,0,0
INN22136,1,0,0,2,Meal Plan 1,0,Room_Type 1,5,2017,10,20,Corporate,1,2,6,65.0,0,0
INN02860,2,0,2,1,Meal Plan 1,0,Room_Type 1,31,2018,10,15,Offline,0,0,0,85.0,0,0
INN28135,1,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,90.0,0,0
INN01917,2,0,0,3,Meal Plan 1,0,Room_Type 1,147,2017,12,29,Online,0,0,0,72.25,2,1
INN00410,2,0,0,1,Meal Plan 1,0,Room_Type 1,167,2018,8,6,Online,0,0,0,105.3,0,1
INN04213,2,0,2,2,Meal Plan 1,0,Room_Type 1,11,2017,10,23,Offline,0,0,0,88.5,0,0
INN22933,2,1,0,2,Meal Plan 1,0,Room_Type 1,3,2018,7,12,Online,0,0,0,173.5,2,0
INN03828,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,11,5,Offline,0,0,0,65.0,1,0
INN03351,3,0,2,5,Meal Plan 1,0,Room_Type 4,111,2018,6,13,Online,0,0,0,150.45,2,1
INN08137,2,0,2,0,Meal Plan 1,0,Room_Type 4,3,2017,12,6,Offline,0,0,0,87.2,0,0
INN11813,2,0,2,1,Meal Plan 1,0,Room_Type 1,54,2017,10,3,Online,0,0,0,100.2,1,0
INN26226,1,0,0,1,Meal Plan 1,0,Room_Type 1,12,2018,11,16,Online,0,0,0,80.8,0,0
INN21749,1,2,2,2,Meal Plan 1,0,Room_Type 6,20,2018,9,18,Online,0,0,0,231.5,0,1
INN06509,2,0,2,1,Meal Plan 2,0,Room_Type 1,23,2018,1,2,Offline,0,0,0,109.0,1,0
INN20051,2,0,1,1,Meal Plan 1,0,Room_Type 1,20,2018,4,30,Online,0,0,0,136.0,1,0
INN34950,2,0,0,2,Meal Plan 1,0,Room_Type 1,31,2018,2,4,Corporate,0,0,0,81.5,0,0
INN27319,2,2,1,2,Meal Plan 1,0,Room_Type 6,37,2018,8,22,Online,0,0,0,207.9,2,0
INN31065,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Offline,0,0,0,89.0,0,1
INN07153,2,1,2,5,Meal Plan 1,0,Room_Type 1,172,2018,7,15,Online,0,0,0,112.32,0,1
INN14945,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,2018,4,23,Online,0,0,0,118.8,1,0
INN27366,2,0,0,4,Meal Plan 1,0,Room_Type 1,87,2018,7,19,Offline,0,0,0,72.25,0,0
INN02791,2,1,0,2,Meal Plan 1,0,Room_Type 6,2,2018,11,25,Offline,0,0,0,153.8,0,0
INN18620,2,0,2,1,Meal Plan 1,0,Room_Type 1,61,2018,11,26,Offline,0,0,0,75.0,0,0
INN06310,2,0,0,3,Meal Plan 1,0,Room_Type 2,40,2018,1,14,Online,0,0,0,77.55,1,0
INN13685,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,0
INN32568,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,9,9,Corporate,0,0,0,90.0,0,0
INN32961,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130.0,0,1
INN22443,2,0,0,2,Not Selected,0,Room_Type 1,61,2018,7,26,Online,0,0,0,94.5,0,1
INN29353,2,0,0,3,Meal Plan 2,0,Room_Type 1,1,2018,9,29,Corporate,0,0,0,146.0,0,0
INN00222,2,0,0,1,Meal Plan 1,0,Room_Type 1,118,2018,3,1,Offline,0,0,0,86.0,0,0
INN21149,2,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,7,12,Online,0,0,0,105.3,1,0
INN09300,2,0,1,3,Meal Plan 1,0,Room_Type 1,14,2017,8,24,Online,0,0,0,90.0,1,0
INN26010,2,0,0,2,Meal Plan 1,0,Room_Type 4,96,2018,10,26,Online,0,0,0,93.96,0,1
INN15732,3,0,1,1,Meal Plan 1,0,Room_Type 4,87,2018,8,8,Online,0,0,0,135.27,1,0
INN11678,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0,0
INN29526,2,0,3,6,Meal Plan 2,0,Room_Type 1,190,2018,8,22,Online,0,0,0,128.92,0,1
INN11847,2,1,0,4,Meal Plan 1,0,Room_Type 1,106,2018,7,13,Offline,0,0,0,84.58,2,0
INN07118,2,0,1,2,Meal Plan 1,0,Room_Type 4,140,2018,9,12,Online,0,0,0,110.19,3,0
INN34217,2,0,1,4,Meal Plan 2,0,Room_Type 1,9,2017,9,7,Offline,0,0,0,116.04,0,1
INN26623,2,0,0,2,Meal Plan 1,0,Room_Type 1,28,2018,5,19,Corporate,0,0,0,109.0,0,0
INN29027,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,2018,9,3,Online,0,0,0,106.88,0,1
INN29811,2,0,1,3,Meal Plan 1,0,Room_Type 1,240,2018,10,27,Online,0,0,0,90.95,2,0
INN26163,2,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,94.5,0,0
INN23054,1,0,2,0,Not Selected,0,Room_Type 1,0,2018,7,10,Online,0,0,0,134.0,0,0
INN03453,1,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Offline,0,0,0,90.0,1,0
INN15923,2,0,1,2,Not Selected,0,Room_Type 1,61,2018,11,4,Online,0,0,0,79.2,1,1
INN18674,1,0,0,1,Meal Plan 1,0,Room_Type 1,10,2018,11,10,Online,0,0,0,120.0,0,1
INN31315,2,0,2,3,Meal Plan 1,0,Room_Type 4,51,2018,9,18,Online,0,0,0,149.4,1,0
INN11959,2,0,0,2,Not Selected,0,Room_Type 1,77,2018,6,17,Online,0,0,0,116.1,0,1
INN13199,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Offline,0,0,0,120.0,0,1
INN01823,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,4,12,Online,0,0,0,119.0,1,0
INN35936,3,0,0,3,Meal Plan 1,0,Room_Type 4,86,2018,7,14,Online,0,0,0,137.7,1,0
INN17367,2,0,1,3,Meal Plan 1,0,Room_Type 4,154,2018,7,7,Online,0,0,0,120.7,1,1
INN19506,2,0,2,1,Meal Plan 1,0,Room_Type 1,87,2018,8,14,Online,0,0,0,117.9,1,1
INN32329,2,0,2,1,Meal Plan 1,0,Room_Type 1,80,2018,11,12,Online,0,0,0,72.07,1,1
INN07889,2,0,0,2,Not Selected,0,Room_Type 1,300,2018,12,22,Online,0,0,0,67.5,3,0
INN22135,2,0,0,2,Meal Plan 1,1,Room_Type 2,259,2018,7,22,Online,0,0,0,95.85,2,1
INN02153,2,0,2,5,Meal Plan 1,0,Room_Type 4,197,2018,8,16,Offline,0,0,0,82.45,2,0
INN05327,2,0,0,1,Meal Plan 1,0,Room_Type 4,3,2018,6,10,Online,0,0,0,136.0,1,0
INN25154,3,0,1,0,Meal Plan 1,0,Room_Type 4,60,2018,7,25,Online,0,0,0,137.7,2,0
INN33358,2,0,0,1,Meal Plan 1,0,Room_Type 4,52,2018,4,15,Online,0,0,0,127.8,0,0
INN18502,1,0,1,0,Meal Plan 1,1,Room_Type 1,26,2018,8,8,Corporate,0,0,0,65.0,0,0
INN17084,2,0,0,2,Not Selected,0,Room_Type 1,7,2018,10,21,Online,0,0,0,116.8,1,0
INN21841,1,0,1,4,Meal Plan 1,0,Room_Type 1,14,2017,12,14,Offline,0,0,0,58.0,0,0
INN05269,2,2,1,3,Meal Plan 1,0,Room_Type 6,26,2017,9,24,Online,0,0,0,231.0,1,1
INN26606,1,0,2,4,Meal Plan 1,0,Room_Type 1,30,2018,2,20,Online,0,0,0,73.42,0,1
INN13288,2,0,1,0,Not Selected,0,Room_Type 1,12,2018,12,5,Online,0,0,0,88.0,0,0
INN14993,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,115.0,1,1
INN06742,2,0,2,2,Meal Plan 1,0,Room_Type 1,40,2017,12,26,Offline,0,0,0,55.0,1,0
INN26473,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,101.5,0,1
INN28929,2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,3,18,Corporate,0,0,0,107.0,0,0
INN17504,3,0,2,1,Meal Plan 2,0,Room_Type 1,107,2018,8,20,Offline,0,0,0,96.9,0,1
INN18784,3,0,0,2,Meal Plan 1,0,Room_Type 4,15,2018,3,4,Online,0,0,0,135.0,2,0
INN27572,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,115.0,1,1
INN26151,2,0,0,4,Not Selected,0,Room_Type 1,40,2018,3,23,Online,0,0,0,102.15,1,1
INN27495,1,0,1,0,Meal Plan 1,1,Room_Type 5,0,2018,7,18,Corporate,0,0,0,139.0,0,0
INN31112,2,0,1,3,Meal Plan 1,0,Room_Type 1,35,2018,8,15,Online,0,0,0,135.9,1,0
INN29993,2,0,0,2,Not Selected,0,Room_Type 1,6,2018,1,12,Online,0,0,0,69.5,2,0
INN28272,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,8,1,Online,0,0,0,102.0,1,0
INN32390,1,1,2,0,Meal Plan 1,0,Room_Type 1,0,2017,10,11,Online,0,0,0,9.0,0,0
INN03422,2,0,1,2,Meal Plan 1,0,Room_Type 1,53,2017,10,9,Online,0,0,0,94.5,0,0
INN36099,2,2,0,1,Meal Plan 1,0,Room_Type 6,17,2018,9,21,Online,0,0,0,224.1,2,0
INN27906,2,0,2,2,Meal Plan 1,0,Room_Type 1,195,2018,10,28,Online,0,0,0,96.3,2,0
INN05450,2,0,1,3,Not Selected,0,Room_Type 1,52,2018,4,11,Online,0,0,0,89.25,1,0
INN15080,3,0,1,0,Meal Plan 1,1,Room_Type 4,45,2018,10,17,Online,0,0,0,185.4,2,0
INN12974,2,0,2,2,Meal Plan 1,0,Room_Type 4,187,2018,10,1,Online,0,0,0,122.4,1,1
INN36178,2,0,2,3,Meal Plan 1,1,Room_Type 1,55,2018,11,24,Online,0,0,0,68.07,1,0
INN32986,2,0,2,2,Meal Plan 1,0,Room_Type 1,6,2018,12,30,Online,0,0,0,122.48,3,0
INN20625,2,0,1,2,Meal Plan 1,0,Room_Type 1,101,2018,4,4,Offline,0,0,0,80.0,0,1
INN08802,2,0,1,2,Not Selected,0,Room_Type 1,56,2018,5,13,Online,0,0,0,116.1,1,0
INN02863,2,1,2,0,Meal Plan 1,0,Room_Type 4,124,2018,10,9,Online,0,0,0,135.0,0,1
INN01650,3,0,1,1,Meal Plan 1,0,Room_Type 4,45,2018,4,30,Online,0,0,0,159.3,0,1
INN23998,2,0,2,1,Meal Plan 1,0,Room_Type 1,10,2018,10,2,Offline,0,0,0,85.0,0,0
INN33033,2,0,1,1,Meal Plan 1,0,Room_Type 1,22,2018,9,26,Online,0,0,0,148.0,1,0
INN08408,1,0,0,3,Meal Plan 1,0,Room_Type 1,151,2018,1,19,Offline,0,0,0,80.0,0,0
INN18421,2,0,2,2,Meal Plan 1,0,Room_Type 1,9,2018,12,3,Online,0,0,0,89.89,0,0
INN35452,2,0,0,2,Meal Plan 1,0,Room_Type 4,64,2018,9,16,Online,0,0,0,149.4,1,0
INN28283,2,0,1,2,Not Selected,0,Room_Type 1,36,2018,10,28,Online,0,0,0,109.0,1,0
INN20534,2,0,2,3,Meal Plan 1,0,Room_Type 4,105,2018,7,31,Online,0,0,0,120.6,1,0
INN07319,2,0,2,4,Meal Plan 1,0,Room_Type 1,21,2018,8,28,Online,0,0,0,123.5,0,0
INN31951,3,0,2,5,Meal Plan 1,0,Room_Type 4,193,2018,8,7,Online,0,0,0,130.05,0,1
INN35252,2,0,2,5,Meal Plan 1,0,Room_Type 4,6,2018,2,28,Offline,0,0,0,80.2,0,0
INN14921,2,0,2,1,Meal Plan 1,0,Room_Type 1,62,2018,9,3,Online,0,0,0,109.8,2,0
INN13470,1,0,1,1,Meal Plan 1,0,Room_Type 1,60,2017,9,21,Online,0,0,0,0.0,0,0
INN08049,2,0,0,1,Meal Plan 1,1,Room_Type 1,1,2018,10,28,Offline,0,0,0,95.0,1,0
INN34395,1,0,0,2,Meal Plan 1,0,Room_Type 1,9,2018,12,21,Corporate,1,0,1,79.0,0,0
INN24077,2,0,2,2,Meal Plan 1,0,Room_Type 1,92,2018,4,2,Online,0,0,0,77.6,0,0
INN22778,1,0,1,3,Meal Plan 1,0,Room_Type 1,26,2018,12,22,Online,0,0,0,74.8,0,1
INN14726,2,0,0,2,Meal Plan 1,0,Room_Type 1,48,2017,10,2,Online,0,0,0,111.6,2,0
INN06382,2,0,0,1,Meal Plan 1,0,Room_Type 1,35,2018,7,8,Online,0,0,0,135.9,0,0
INN00328,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,0,0,0,130.0,0,1
INN00232,2,1,1,3,Meal Plan 1,0,Room_Type 1,77,2018,5,12,Online,0,0,0,135.15,1,0
INN26579,2,2,0,4,Meal Plan 1,0,Room_Type 6,82,2018,3,23,Online,0,0,0,158.83,0,0
INN28120,2,0,0,1,Not Selected,0,Room_Type 1,52,2018,11,3,Online,0,0,0,79.2,0,1
INN33067,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2018,1,15,Online,0,0,0,65.8,2,0
INN24191,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,10,28,Complementary,1,0,5,0.0,1,0
INN01187,2,0,0,2,Meal Plan 1,0,Room_Type 1,71,2018,4,1,Online,0,0,0,87.3,0,1
INN11406,2,0,1,3,Meal Plan 1,0,Room_Type 1,203,2018,8,29,Online,0,0,0,90.95,0,1
INN00838,2,0,0,4,Not Selected,0,Room_Type 1,17,2018,11,16,Online,0,0,0,74.8,2,0
INN09574,2,0,1,2,Not Selected,0,Room_Type 1,53,2018,7,18,Online,0,0,0,72.76,2,0
INN19626,2,0,1,2,Meal Plan 1,0,Room_Type 4,14,2017,10,5,Offline,0,0,0,75.0,0,0
INN12209,2,0,1,3,Not Selected,0,Room_Type 1,59,2018,6,27,Online,0,0,0,102.6,0,1
INN35799,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,3,28,Corporate,1,0,3,65.0,0,0
INN25787,1,0,2,1,Meal Plan 2,0,Room_Type 1,124,2017,8,8,Offline,0,0,0,72.5,0,0
INN08268,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,22,Online,0,0,0,109.87,0,0
INN08197,2,0,0,1,Not Selected,1,Room_Type 1,0,2017,10,9,Online,0,0,0,161.0,1,0
INN31294,2,0,2,1,Meal Plan 1,0,Room_Type 4,80,2018,5,1,Online,0,0,0,140.4,1,0
INN28608,2,0,2,2,Meal Plan 1,0,Room_Type 1,67,2018,12,2,Offline,0,0,0,75.0,0,0
INN09301,2,0,0,1,Not Selected,0,Room_Type 1,13,2018,6,14,Online,0,0,0,89.0,0,0
INN07229,2,0,0,3,Meal Plan 2,0,Room_Type 1,1,2018,9,29,Corporate,0,0,0,146.0,0,0
INN20228,2,0,2,3,Meal Plan 1,0,Room_Type 1,81,2018,10,16,Offline,0,0,0,80.75,0,0
INN02210,2,0,1,0,Meal Plan 1,0,Room_Type 1,166,2018,6,26,Online,0,0,0,96.3,1,0
INN20316,3,0,2,1,Meal Plan 1,1,Room_Type 4,23,2018,8,21,Online,0,0,0,200.0,2,0
INN33074,2,1,1,1,Meal Plan 1,0,Room_Type 1,17,2018,12,10,Offline,0,0,0,80.0,0,0
INN31805,2,0,0,2,Meal Plan 1,0,Room_Type 1,263,2018,10,21,Offline,0,0,0,110.0,0,1
INN18480,3,0,0,3,Meal Plan 1,0,Room_Type 1,54,2018,4,5,Offline,0,0,0,105.0,1,0
INN23369,1,0,1,2,Not Selected,0,Room_Type 1,12,2018,11,7,Online,0,0,0,134.75,1,0
INN28187,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,10,5,Online,0,0,0,92.98,0,0
INN05938,2,0,1,1,Meal Plan 1,0,Room_Type 1,174,2017,10,10,Online,0,0,0,70.0,0,1
INN22202,2,0,2,2,Not Selected,0,Room_Type 1,130,2018,5,22,Online,0,0,0,89.25,1,0
INN01262,1,0,0,1,Meal Plan 1,0,Room_Type 4,7,2018,9,22,Online,0,0,0,150.15,1,1
INN32907,2,0,0,1,Not Selected,0,Room_Type 1,131,2018,7,29,Online,0,0,0,94.5,1,0
INN07406,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Online,0,0,0,115.0,0,1
INN02360,2,0,1,0,Not Selected,0,Room_Type 1,180,2018,11,13,Online,0,0,0,54.75,2,0
INN09792,1,0,0,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,Offline,0,0,0,90.0,0,0
INN21266,2,0,1,3,Meal Plan 1,0,Room_Type 1,36,2017,12,24,Online,0,0,0,58.92,0,0
INN00477,2,0,0,1,Meal Plan 1,1,Room_Type 1,2,2018,10,11,Online,0,0,0,169.0,2,0
INN10951,1,0,2,5,Meal Plan 1,0,Room_Type 1,102,2018,7,23,Online,0,0,0,99.9,0,1
INN15551,2,0,0,4,Meal Plan 1,0,Room_Type 1,14,2018,6,8,Offline,0,0,0,110.8,1,0
INN30813,1,0,3,7,Meal Plan 1,0,Room_Type 1,10,2018,12,2,Online,0,0,0,76.59,0,0
INN04049,2,0,0,4,Meal Plan 1,0,Room_Type 1,140,2018,6,15,Offline,0,0,0,80.75,0,0
INN16001,1,0,1,2,Meal Plan 1,0,Room_Type 1,10,2018,2,19,Offline,0,0,0,69.0,0,0
INN14379,1,0,1,0,Meal Plan 1,0,Room_Type 1,92,2018,8,22,Online,0,0,0,112.5,2,0
INN07537,1,0,1,0,Meal Plan 1,0,Room_Type 1,76,2018,10,10,Online,0,0,0,120.0,0,1
INN17931,2,0,0,2,Meal Plan 1,0,Room_Type 1,70,2018,6,3,Offline,0,0,0,100.0,0,0
INN14404,2,0,1,5,Not Selected,0,Room_Type 1,20,2017,9,21,Online,0,0,0,140.33,2,0
INN00260,3,0,2,3,Meal Plan 2,0,Room_Type 4,111,2018,7,23,Online,0,0,0,189.0,1,0
INN10912,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2017,10,28,Corporate,0,0,0,65.0,0,0
